code_identifiant;presentation7;libéllé;Statut administratif de la présentation;Etat de commercialisation de la présentation;Date de la déclaration de commercialisation;Code Identifiant de Présentation à 13 chiffres;Agrément aux collectivités;taux_remboursement;prix€;indications_remboursement;dec;Prix
68886453;3644689;10 récipient(s) unidose(s) pvc (saranex) de 15 ml;Présentation active;Déclaration de commercialisation;2005-06-07;3400936446892;non;;;;;
68906272;3623871;1 flacon(s) en verre brun de 70 ml avec fermeture de sécurité enfant avec pipette(s) graduée(s) polyéthylène polypropylène polystyrène;Présentation active;Déclaration d'arrêt de commercialisation;2012-05-09;3400936238718;non;65 %;5;;26;5.26
68909069;3352478;30 ampoule(s) en verre de 2 ml;Présentation active;Déclaration de commercialisation;1993-04-19;3400933524784;oui;30 %;3;;76;3.76
68909329;2802229;12 sachet(s) polytéréphtalate (pet) aluminium polyéthylène de 10 ml;Présentation active;Déclaration de commercialisation;2015-09-02;3400928022295;non;;;;;
68909592;3835490;Plaquette(s) thermoformée(s) aluminium pvc pvdc de 30 comprimé(s);Présentation active;Déclaration de commercialisation;2013-11-15;3400938354904;oui;65 %;29;Ce médicament peut être pris en charge ou remboursé par l'Assurance Maladie dans les cas suivants :<br><br>- Psychose et schizophrénie chez l'adulte<br>- Accès maniaques chez l'adulte atteint de trouble bipolaire<br>- Agressivité persistante dans le contexte d'un trouble de la conduite, chez les enfants âgés de 5 ans à 11ans présentant un retard intellectuel - JOURNAL OFFICIEL  - 25/08/06 - Ceci est une synthèse . Pour une information exhaustive de référence , nous vous invitons à vous référer aux publications du Journal Officiel.;38;29.38
68924434;3720025;Plaquette(s) thermoformée(s) pvc pvdc aluminium de 90 comprimé(s);Présentation active;Déclaration de commercialisation;2006-05-09;3400937200257;oui;65 %;17;;12;17.12
68924434;5591916;Plaquette(s) thermoformée(s) pvc pvdc aluminium de 50  comprimé(s);Présentation active;Déclaration d'arrêt de commercialisation;2013-12-31;3400955919162;non;;;;;
68953261;3726269;Plaquette(s) thermoformée(s) aluminium de 30 comprimé(s);Présentation active;Déclaration de commercialisation;2006-12-04;3400937262699;oui;65 %;5;;57;5.57
69000764;3393543;1 ampoule(s) en verre de 3 ml;Présentation active;Déclaration de commercialisation;1996-12-19;3400933935436;oui;65 %;20;Ce médicament peut être pris en charge ou remboursé par l'Assurance Maladie dans le cas suivant :<br><br>Chez l'adulte :<br><br>- Prévention des nausées et vomissements de moyenne à forte intensité induits par la chimiothérapie<br>- Prévention des nausées et vomissements de forte intensité induits par la radiothérapie - JOURNAL OFFICIEL  - 21/11/08 - Ceci est une synthèse . Pour une information exhaustive de référence , nous vous invitons à vous référer aux publications du Journal Officiel.;;
69011006;2745916;Plaquette(s) pvc polychlortrifluoroéthylène aluminium de 28 comprimé(s);Présentation active;Déclaration de commercialisation;2014-01-21;3400927459160;oui;65 %;13;;65;13.65
69011611;3538763;Plaquette(s) thermoformée(s) pvc-aluminium de 30 comprimé(s);Présentation active;Déclaration de commercialisation;2001-03-15;3400935387639;oui;100 %;27;;45;27.45
69022401;2756452;Plaquette(s) pvc polyéthylène pvdc aluminium de 90 comprimé(s);Présentation active;Déclaration de commercialisation;2014-05-03;3400927564529;oui;65 %;4;;99;4.99
69031610;5625957;1 flacon(s) en verre;Présentation active;Déclaration de commercialisation;2001-06-02;3400956259571;oui;;;;;
69032370;3705646;Plaquette(s) thermoformée(s) aluminium de 28 comprimé(s);Présentation active;Déclaration d'arrêt de commercialisation;2014-03-28;3400937056465;non;65 %;7;;84;7.84
69033757;2771345;1 flacon(s) en verre jaune(brun) de 4 ml;Présentation active;Déclaration de commercialisation;2015-05-21;3400927713453;non;;;;;
69058358;3537597;4 poche(s) suremballée(s)/surpochée(s) polyoléfine de 2000 ml avec dispositif(s) de transfert avec système de connexion avec poche de drainage;Présentation active;Déclaration de commercialisation;2008-04-18;3400935375971;oui;;;;;
69074298;3536853;15 poche(s) polyester copolymère polyéthylène polypropylène styrène éthylène butadiène suremballée/surpochée de 500  ml;Présentation active;Déclaration de commercialisation;2002-01-01;3400935368539;non;;;;;
69077892;3974493;Plaquette(s) thermoformée(s) pvc pvdc aluminium de 42 comprimé(s);Présentation active;Déclaration de commercialisation;2012-01-31;3400939744933;oui;65 %;39;;14;39.14
69078001;3556809;Plaquette(s) thermoformée(s) pvc-aluminium de 30 comprimé(s);Présentation active;Déclaration d'arrêt de commercialisation;2014-03-25;3400935568090;non;65 %;8;;63;8.63
69085818;3273655;Plaquette(s) thermoformée(s) pvc polyéthylène de 10  suppositoire(s);Présentation active;Déclaration de commercialisation;1986-02-19;3400932736553;oui;65 %;1;;41;1.41
69093245;3638424;Plaquette(s) thermoformée(s) pvc-aluminium de 12 comprimé(s);Présentation active;Déclaration de commercialisation;2004-05-11;3400936384248;oui;65 %;7;;33;7.33
69101592;3924147;Plaquette(s) thermoformée(s) pvc-aluminium de 90 comprimé(s);Présentation active;Déclaration de commercialisation;2010-02-18;3400939241470;oui;65 %;20;;89;20.89
69129638;3738829;1 flacon(s) polyéthylène de 180 comprimé(s);Présentation active;Déclaration de commercialisation;2007-03-27;3400937388290;oui;65 %;17;;48;17.48
69169038;4161065;Plaquette(s) thermoformée(s) aluminium de 50 comprimé(s);Présentation active;Déclaration de commercialisation;2012-02-03;3400941610653;oui;;;;;
69169312;3827757;Plaquette(s) thermoformée(s) polyamide aluminium pvc-aluminium de 28 comprimé(s);Présentation active;Déclaration d'arrêt de commercialisation;2015-05-28;3400938277579;oui;65 %;7;;49;7.49
69174754;3821507;1 seringue(s) préremplie(s) en verre de 0,3 ml;Présentation active;Déclaration de commercialisation;2009-12-14;3400938215076;oui;65 %;20;;62;20.62
69179872;3426426;50 récipient(s) unidose(s) polyéthylène de 10 ml;Présentation active;Déclaration de commercialisation;2003-02-24;3400934264269;oui;;;;;
69184289;3483080;1 tube(s) aluminium de 80 g avec cuillère-mesure polypropylène;Présentation active;Déclaration de commercialisation;2009-03-16;3400934830808;oui;65 %;8;;14;8.14
69188939;3742699;Plaquette(s) thermoformée(s) aluminium de 14 comprimé(s);Présentation active;Déclaration de commercialisation;2010-09-13;3400937426992;oui;65 %;3;;42;3.42
69227858;5750792;1 flacon(s) en verre de 100 ml;Présentation active;Déclaration de commercialisation;2009-05-11;3400957507923;oui;;;;;
69249662;4927751;Plaquette(s) thermoformée(s) pvc polyéthylène pvdc aluminium de 30 comprimé(s);Présentation active;Déclaration d'arrêt de commercialisation;2014-10-31;3400949277513;non;100 %;47;;01;47.01
69256710;2688437;4 seringue(s) préremplie(s) en verre de 1 ml avec aiguille(s) acier avec protège-aiguille;Présentation active;Déclaration de commercialisation;2014-02-04;3400926884376;oui;65 %;948;;16;948.16
69273510;3037015;Plaquette(s) thermoformée(s) pvdc aluminium polyéthylène pvc de 60  comprimé(s);Présentation active;Déclaration de commercialisation;1972-01-19;3400930370155;oui;65 %;2;;14;2.14
69284777;2213912;Plaquette(s) thermoformée(s) pvc polychlortrifluoroéthylène aluminium de 28 comprimé(s);Présentation active;Déclaration de commercialisation;2013-01-29;3400922139128;oui;65 %;27;;01;27.01
69285352;4171684;Plaquette(s) pvc pvdc aluminium de 84 comprimé(s);Présentation active;Déclaration de commercialisation;2012-12-12;3400941716843;oui;65 %;96;;37;96.37
69298093;3861406;Plaquette(s) thermoformée(s) polyamide aluminium pvc-aluminium de 12 comprimé(s);Présentation active;Déclaration de commercialisation;2012-12-03;3400938614060;oui;65 %;20;;43;20.43
69399740;5722146;1 bouteille(s) aluminium de 20 l  munie d'un robinet à pression résiduelle en acier inoxydable avec raccord de sortie spécifique;Présentation active;Déclaration de commercialisation;2008-01-06;3400957221461;oui;;;;;
69413161;3555477;Plaquette(s) thermoformée(s) pvc-aluminium de 30 comprimé(s);Présentation active;Déclaration de commercialisation;2009-11-19;3400935554772;oui;65 %;2;;19;2.19
65253528;3882934;Plaquette(s) thermoformée(s) pvc pvdc aluminium de 14 comprimé(s);Présentation active;Déclaration de commercialisation;2009-09-14;3400938829341;oui;65 %;4;;46;4.46
65258151;2695466;1 plaquette(s) pvc pvdc aluminium suremballée(s)/surpochée(s) de 28 comprimé(s);Présentation active;Déclaration de commercialisation;2013-08-07;3400926954666;non;65 %;1;;14;1.14
65261489;3675750;Plaquette(s) thermoformée(s) pvc polyéthylène de 1 ovule(s);Présentation active;Déclaration de commercialisation;2005-04-26;3400936757509;oui;30 %;2;;16;2.16
65294293;3468146;1 flacon(s) de 90 ml avec gobelet(s) doseur(s);Présentation active;Déclaration de commercialisation;2010-07-04;3400934681462;oui;15 %;1;;54;1.54
65296084;3656592;Pilulier(s) polypropylène de 5 comprimé(s);Présentation active;Déclaration de commercialisation;2005-06-06;3400936565920;oui;;;;;
65314657;5865992;1 flacon(s) en verre;Présentation active;Déclaration de commercialisation;2015-06-22;3400958659928;oui;;;;;
65317023;5585382;1 ampoule(s) en verre de 5 ml;Présentation active;Déclaration de commercialisation;1995-03-19;3400955853824;oui;;;;;
65317710;3674294;Plaquette(s) thermoformée(s) pvc pvdc aluminium de 28 comprimé(s);Présentation active;Déclaration d'arrêt de commercialisation;2012-04-12;3400936742949;non;65 %;5;;;
65317895;5766698;Plaquette(s) thermoformée(s) pvc aluminium de 60 comprimé(s);Présentation active;Déclaration de commercialisation;2010-07-21;3400957666989;oui;;;;;
65337271;3454629;Plaquette(s) thermoformée(s) pvc polyéthylène pvdc aluminium de 15 comprimé(s);Présentation active;Déclaration de commercialisation;2007-04-20;3400934546297;oui;30 %;2;;51;2.51
65339742;3178738;Plaquette(s) thermoformée(s) pvc-aluminium de 60  gélule(s);Présentation active;Déclaration d'arrêt de commercialisation;2011-12-31;3400931787389;non;;;;;
65361009;3475784;Plaquette(s) thermoformée(s) pvc aluminium de 28 gélule(s);Présentation active;Déclaration de commercialisation;2000-10-04;3400934757846;oui;65 %;5;;94;5.94
65398438;3619645;Plaquette(s) thermoformée(s) aluminium de 20 comprimé(s);Présentation active;Déclaration de commercialisation;2009-01-19;3400936196452;oui;65 %;3;;55;3.55
65407232;5610016;10 flacon(s) en verre de 50 ml;Présentation active;Déclaration de commercialisation;2002-02-04;3400956100163;oui;;;;;
65441971;3401834;1 poche(s) pvc plastifié de 100 ml avec embout(s) la;Présentation active;Déclaration de commercialisation;1999-01-09;3400934018343;non;65 %;1;;84;1.84
65461618;3663965;1 poche(s) simple pvc de 2000 ml avec connexion à vis luer;Présentation active;Déclaration d'arrêt de commercialisation;2014-02-28;3400936639652;non;;;;;
65471256;4928880;Plaquette(s) thermoformée(s) pvc polyéthylène pvdc aluminium de 30 comprimé(s);Présentation active;Déclaration de commercialisation;2011-11-15;3400949288809;oui;65 %;6;;64;6.64
65479580;2179753;Plaquette(s) formée(s) à froid polyamide aluminium pvc-aluminium de 7 comprimé(s);Présentation active;Déclaration de commercialisation;2012-03-23;3400921797534;non;;;;;
65490819;3501300;1 flacon(s) pulvérisateur(s) aluminium de 75 ml;Présentation active;Déclaration de commercialisation;2000-01-03;3400935013002;oui;15 %;2;;34;2.34
65512856;3902341;Plaquette(s) thermoformée(s) papier polyester aluminium polyamide pvc de 30 comprimé(s);Présentation active;Déclaration de commercialisation;2010-10-02;3400939023410;oui;65 %;8;;28;8.28
65527071;5787571;5 seringue(s) préremplie(s) en verre de 1 ml;Présentation active;Déclaration de commercialisation;2014-01-30;3400957875718;oui;;;;;
65571438;2691528;Plaquette(s) pvc pvdc aluminium de 30 comprimé(s);Présentation active;Déclaration de commercialisation;2014-11-19;3400926915285;oui;65 %;6;;19;6.19
65586358;3926904;Plaquette(s) thermoformée(s) pvc pvdc aluminium de 30 comprimé(s);Présentation active;Déclaration de commercialisation;2010-04-01;3400939269047;oui;65 %;5;;78;5.78
65601290;3626378;Plaquette(s) thermoformée(s) pvc-aluminium de 40  comprimé(s);Présentation active;Déclaration d'arrêt de commercialisation;2014-05-09;3400936263789;non;30 %;2;;35;2.35
65618628;3485050;Plaquette(s) thermoformée(s) pvc-aluminium de 30 comprimé(s);Présentation active;Déclaration de commercialisation;2011-10-02;3400934850509;oui;65 %;3;;77;3.77
65633530;4960688;1 plaquette(s) thermoformée(s) pvc-aluminium de 21 comprimé(s);Présentation active;Déclaration de commercialisation;2013-03-01;3400949606887;non;;;;;
