code_identifiant;format_administration;Code de la substance;denomination_de_la_substance;dosage_de_la_substance;réferent_dosage;Nature du composant;Numéro permettant de lier, le cas échéant, substances actives et fractions thérapeutiques
62760907;Collyre;97986;LODOXAMIDE TROMÉTAMOL;0,1780 g;100 ml;Principe Actif;1
62761329;Comprimé;527;GLICLAZIDE;80 mg;un comprimé;Principe Actif;1
62844369;Comprimé;24321;CHLORHYDRATE DE METFORMINE;500 mg;un comprimé;Principe Actif;1
62869109;Capsule;77887;CONCENTRAT DE VITAMINE A SYNTHÉTIQUE, FORME HUILEUSE;50 000 UI;une capsule;Principe Actif;1
62884890;Granulés;78578;FOSFOMYCINE;3 g;un sachet;Fraction Thérapeutique;1
62893252;Comprimé;15711;RIBAVIRINE;200 mg;un comprimé;Principe Actif;1
62896444;Comprimé;2382;MÉTRONIDAZOLE;250 mg;un comprimé;Principe Actif;2
62914611;Solution;2258;PROPRANOLOL (CHLORHYDRATE DE);100 mg;100 ml;Principe Actif;1
62916135;Granules;2380;NITRICUM ACIDUM POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;100 ml de solution injectable;Principe Actif;17
62947643;Comprimé;2202;PARACÉTAMOL;500 mg;un comprimé;Principe Actif;1
62949893;Comprimé;1097;ALLOPURINOL;200 mg;un comprimé;Principe Actif;1
62963238;Granules;34673;ACALYPHA INDICA POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;un comprimé;Principe Actif;17
62978247;Comprimé;3339;HYDROGÉNOOXALATE DE NAFTIDROFURYL;200 mg;un comprimé;Principe Actif;1
62979484;Comprimé;19473;BARYTA CARBONICA POUR PRÉPARATIONS HOMÉOPATHIQUES;60 mg (4 DH);un comprimé;Principe Actif;3
62980497;Comprimé;1434;CHLORTALIDONE;12,5 mg;un comprimé;Principe Actif;6
62981909;Poudre;80439;MOROCTOCOG ALFA;1 000 UI;une seringue préremplie;Principe Actif;1
62987851;Comprimé;19809;ATORVASTATINE;80 mg;un comprimé;Fraction Thérapeutique;1
62987851;Comprimé;50091;ATORVASTATINE CALCIQUE;82,90 mg;un comprimé;Principe Actif;1
63018531;Solution;4971;HÉPARINE CALCIQUE;25 000 UI;ml;Principe Actif;1
63025935;Comprimé;21888;CHLORHYDRATE DE BUPRÉNORPHINE;0,432 mg;un comprimé;Principe Actif;1
63067336;Gélule;32833;GALANTAMINE;16 mg;une gélule;Fraction Thérapeutique;1
63075856;Comprimé;15734;VALSARTAN;160 mg;un comprimé;Principe Actif;1
63101055;Comprimé;19698;MYCOPHÉNOLATE MOFÉTIL;500 mg;un comprimé;Principe Actif;1
63105203;Crème;1728;MÉTILSULFATE DE MÉFÉNIDRAMIUM;2,000 g;100 g de crème;Principe Actif;3
63112596;Comprimé;89971;ESCITALOPRAM;15 mg;un comprimé;Fraction Thérapeutique;1
63115051;Gélule;4773;OMÉPRAZOLE;20 mg;une gélule;Principe Actif;1
63127491;Comprimé;3385;ACIDE TIAPROFÉNIQUE;200 mg;un comprimé;Principe Actif;1
63127541;Solution;6494;ACÉTATE D'OCTRÉOTIDE;;;Principe Actif;1
63131269;Comprimé;2825;PHÉNOBARBITAL;15 mg;un comprimé;Principe Actif;4
63143645;Comprimé;13112;ALPRAZOLAM;0,25 mg;un comprimé;Principe Actif;1
