code_identifiant;Date de début de l’information de sécurité;Date de fin de l’information de sécurité;information_de_sécurite
63907947;2015-06-04;2015-12-04;Médicaments contenant de l’ibuprofène, de la polymyxine, de la dompéridone : retour sur la réunion de mai 2015 du CMDh
63925105;2014-12-09;2015-12-09;Statines et risque de diabète : le rapport bénéfice/risque reste toujours positif
63927896;2014-04-14;2016-03-14;Retour d'information sur le PRAC - Médicaments utilisés dans le double blocage du système rénine-angiotensine, à base de valproate, d’ambroxol ou de bromhexine, de codéine chez l’enfant, de testostérone, vaccins anti-HPV
63939133;2014-04-14;2016-03-14;Retour d'information sur le PRAC - Médicaments utilisés dans le double blocage du système rénine-angiotensine, à base de valproate, d’ambroxol ou de bromhexine, de codéine chez l’enfant, de testostérone, vaccins anti-HPV
63957170;2013-12-02;2015-12-02;IMNOVID® (pomalidomide) : minimisation des risques et programme de prévention des grossesses chez les patients traités
63988721;2013-10-02;2016-10-02;Ondansétron (Zophren® et génériques) et allongement dose-dépendant de l’intervalle QT : Mise à jour de l'information concernant la posologie de la forme pour administration intraveineuse (IV)
63999867;2015-02-18;2016-08-18;Réévaluation des médicaments à base d’hydroxyzine et des médicaments à base de codéine utilisés chez l’enfant
64018107;2013-03-13;2016-09-13;Médicaments antihypertenseurs agissant sur le système rénine-angiotensine : rappels des précautions d'emploi et des règles de bon usage
64025016;2012-04-03;2016-10-03;Protelos® (ranélate de strontium) : nouvelles contre-indications afin de minimiser le risque thrombo-embolique veineux après la réévaluation européenne
64027704;2013-03-13;2016-09-13;Médicaments antihypertenseurs agissant sur le système rénine-angiotensine : rappels des précautions d'emploi et des règles de bon usage
64082832;2013-03-13;2016-09-13;Médicaments antihypertenseurs agissant sur le système rénine-angiotensine : rappels des précautions d'emploi et des règles de bon usage
64102929;2014-04-14;2016-03-14;Retour d'information sur le PRAC - Médicaments utilisés dans le double blocage du système rénine-angiotensine, à base de valproate, d’ambroxol ou de bromhexine, de codéine chez l’enfant, de testostérone, vaccins anti-HPV
64107495;2013-11-08;2015-11-08;Médicaments contenant de la diacéréine (ART 50, ZONDAR et génériques) Médicaments utilisés dans le double blocage du système rénine-angiotensine
64122611;2015-05-18;2015-11-18;Démarrage par le PRAC d’un arbitrage concernant Tysabri et de l’évaluation de l’impact du risque de pneumopathie sur le traitement de la BPCO par corticoïdes inhalés
64261461;2014-12-16;2015-12-16;Médicaments contenant de l’ambroxol ou de la bromhexine, médicaments contenant de l’ibuprofène utilisés à fortes doses,
64292987;2014-04-14;2016-03-14;Retour d'information sur le PRAC - Médicaments utilisés dans le double blocage du système rénine-angiotensine, à base de valproate, d’ambroxol ou de bromhexine, de codéine chez l’enfant, de testostérone, vaccins anti-HPV
64436163;2013-11-08;2015-11-08;Médicaments contenant de la diacéréine (ART 50, ZONDAR et génériques) Médicaments utilisés dans le double blocage du système rénine-angiotensine
64500662;2013-11-08;2015-11-08;Médicaments contenant de la diacéréine (ART 50, ZONDAR et génériques) Médicaments utilisés dans le double blocage du système rénine-angiotensine
64517099;2014-01-08;2016-01-08;Etat des lieux en 2013 de la consommation des benzodiazépines en France
64533356;2013-11-08;2015-11-08;Médicaments contenant de la diacéréine (ART 50, ZONDAR et génériques) Médicaments utilisés dans le double blocage du système rénine-angiotensine
64555954;2015-03-20;2016-03-20;Médicaments à base de codéine utilisés chez l’enfant dans le traitement de la toux, biphosphonate en intraveineux (IV) ou denosumab
64588580;2012-09-25;2016-03-25;Méthylphenidate - Rappel des conditions de prescription, de délivrance et de surveillance
64622680;2014-04-14;2016-03-14;Retour d'information sur le PRAC - Médicaments utilisés dans le double blocage du système rénine-angiotensine, à base de valproate, d’ambroxol ou de bromhexine, de codéine chez l’enfant, de testostérone, vaccins anti-HPV
64651504;2013-11-08;2015-11-08;Médicaments contenant de la diacéréine (ART 50, ZONDAR et génériques) Médicaments utilisés dans le double blocage du système rénine-angiotensine
64676913;2013-03-13;2016-09-13;Médicaments antihypertenseurs agissant sur le système rénine-angiotensine : rappels des précautions d'emploi et des règles de bon usage
64676913;2013-11-08;2015-11-08;Médicaments contenant de la diacéréine (ART 50, ZONDAR et génériques) Médicaments utilisés dans le double blocage du système rénine-angiotensine
64685296;2012-10-01;2016-10-01;Pilules estroprogestatives et risque thrombotique
64747328;2014-04-14;2016-03-14;Retour d'information sur le PRAC - Médicaments utilisés dans le double blocage du système rénine-angiotensine, à base de valproate, d’ambroxol ou de bromhexine, de codéine chez l’enfant, de testostérone, vaccins anti-HPV
64780723;2014-12-09;2015-12-09;Statines et risque de diabète : le rapport bénéfice/risque reste toujours positif
64794025;2013-03-13;2016-09-13;Médicaments antihypertenseurs agissant sur le système rénine-angiotensine : rappels des précautions d'emploi et des règles de bon usage
64801263;2013-11-08;2015-11-08;Médicaments contenant de la diacéréine (ART 50, ZONDAR et génériques) Médicaments utilisés dans le double blocage du système rénine-angiotensine
64817239;2015-05-06;2017-05-06;Risque d'arythmies avec Harvoni ou Sovaldi en association avec Daklinza lors de la co-administration avec l'amiodarone
64843390;2013-03-13;2016-09-13;Médicaments antihypertenseurs agissant sur le système rénine-angiotensine : rappels des précautions d'emploi et des règles de bon usage
64941386;2014-04-14;2016-03-14;Retour d'information sur le PRAC - Médicaments utilisés dans le double blocage du système rénine-angiotensine, à base de valproate, d’ambroxol ou de bromhexine, de codéine chez l’enfant, de testostérone, vaccins anti-HPV
64948936;2014-06-17;2015-12-17;Médicaments contenant de la bromocriptine, médicaments contenant de la méthadone et de la povidone, médicaments contenant de l’ibuprofène utilisés à fortes doses
64984697;2015-03-31;2017-03-31;Vaccins contre les rotavirus (RotaTeq et Rotarix) et rappel sur la prise en charge de l’invagination intestinale aiguë du nourrisson
65065017;2011-12-06;2016-08-06;Médicaments à base de dompéridone et sécurité d'emploi cardiovasculaire
65065017;2011-12-16;2016-06-16;Utilisation hors AMM de la dompéridone dans la stimulation de la lactation : mise en garde
65065818;2013-11-08;2015-11-08;Médicaments contenant de la diacéréine (ART 50, ZONDAR et génériques) Médicaments utilisés dans le double blocage du système rénine-angiotensine
65066770;2012-12-17;2016-12-17;Consommation des benzodiazépines : Bien respecter les règles de bon usage pour limiter les risques dont celui de démence
65085169;2014-04-14;2016-03-14;Retour d'information sur le PRAC - Médicaments utilisés dans le double blocage du système rénine-angiotensine, à base de valproate, d’ambroxol ou de bromhexine, de codéine chez l’enfant, de testostérone, vaccins anti-HPV
65136489;2014-04-14;2016-03-14;Retour d'information sur le PRAC - Médicaments utilisés dans le double blocage du système rénine-angiotensine, à base de valproate, d’ambroxol ou de bromhexine, de codéine chez l’enfant, de testostérone, vaccins anti-HPV
65149821;2015-05-12;2016-05-12;Statines et myopathie nécrosante immuno-médiée : renforcement des informations de sécurité
65243459;2013-03-26;2017-03-26;Prolia (denosumab) - Risque de fracture fémorale atypique
