name,description,photo_url,diseases,images
Acore vrai,"Plante médicinale à l’effet stomachique avec une action efficace contre les brûlures d’estomac, se présente souvent sous forme de tisanes (infusions).",https://creapharma.ch/wp-content/uploads/2015/04/calami-rhizome.jpg,"Acidité gastrique , Brûlure d’estomac , Gastro-entérite , Mal de ventre ",https://upload.wikimedia.org/wikipedia/commons/7/75/Acorus_calamus_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-006.jpg
Boldo,"Plante médicinale utilisée principalement pour son effet spasmolytique lors de troubles digestifs, se présente souvent sous forme de tisane, en goutte ou en gélule.",https://creapharma.ch/wp-content/uploads/2015/04/boldo-215x200.gif,"Acidité gastrique , Brûlure d’estomac , Gastro-entérite , Mal de ventre ",https://es.wikipedia.org/wiki/Peumus_boldus#/media/File:Peumus_boldus_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-104.jpg
Camomille vraie,Plante médicinale utilisée en usage interne contre les spasmes et les problèmes digestifs surtout sous forme de tisane et en usage externe comme désinfectant et cicatrisant.,https://creapharma.ch/wp-content/uploads/2015/04/camomille-vraie-163x200.jpg,"Acidité gastrique , Allergie , Angine (pharyngite) , Brûlure d’estomac , Eczéma , Gastro-entérite , Gorge (mal de) , Hémorroïdes , Insomnie (troubles du sommeil) , Laryngite , Mal de gorge , Nervosité (stress) , Peau-sèche , Pharyngite (angine) , Rhume des foins , Sommeil (troubles du sommeil, insomnie) , Stress ",https://upload.wikimedia.org/wikipedia/commons/e/ef/Matricaria_recutita_g3.jpg
Chélidoine,"Plante médicinale utilisée en usage interne contre les problèmes digestifs comme les spasmes et en usage externe contre les verrues.
Attention, n’utiliser pour son usage interne (prise orale) que des remèdes certifiés par les autorités sanitaires.",https://creapharma.ch/wp-content/uploads/2015/04/chelidoine-une.jpg,"Acidité gastrique , Brûlure d’estomac , Verrues ",https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Chelidonium_majus20100511_10.jpg/1200px-Chelidonium_majus20100511_10.jpg
Chou,Plante médicinale calmante utilisée principalement en usage externe lors de rhumatisme sous forme de cataplasme.,https://creapharma.ch/wp-content/uploads/2015/04/chou-plante.jpg,"Acidité gastrique , Brûlure d’estomac , Hyperthyroïdie ",https://upload.wikimedia.org/wikipedia/commons/8/83/Choux_02.jpg
Cumin,"Plante médicinale utilisée lors de problèmes digestifs comme les flatulences, se présente en général sous forme de tisane (infusion).",https://creapharma.ch/wp-content/uploads/2015/04/cumin-graines.jpg,"Acidité gastrique , Brûlure d’estomac , Flatulence , Gastro-entérite , Indigestion ",https://de.wikipedia.org/wiki/Kreuzk%C3%BCmmel#/media/File:Cuminum_cyminum_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-198.jpg
Mélisse,Plante médicinale et aromatique utilisée en usage interne comme sédatif et digestif et en usage externe pour soigner l’herpès labial ou en friction contre des douleurs rhumatismales.,https://creapharma.ch/wp-content/uploads/2015/05/melisse-plantes-medicinale.jpg,"Acidité gastrique , Anxiété , Brûlure d’estomac , Cystite interstitielle , Gastro-entérite , Insectes (piqûres d’) , Insomnie (troubles du sommeil) , Mal de ventre , Ménopause , Moustiques (piqûres de) , Nervosité (stress) , Piqûre d’insectes (insectes) , Piqûres de moustiques , Sommeil (troubles du sommeil, insomnie) , Stress , Syncope , Syndrome du côlon irritable ",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Melissa_officinalis_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-094.jpg/297px-Melissa_officinalis_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-094.jpg
Menthe,"Plante médicinale à vertu digestive et aromatique, se présente principalement sous forme de tisane (infusion).",,"Acidité gastrique , Brûlure d’estomac , Gastro-entérite , Insectes (piqûres d’) , Mauvaise haleine , Migraine , Piqûre d’insectes (insectes) , Règles douloureuses (dysménorrhée) , Syndrome du côlon irritable ",https://upload.wikimedia.org/wikipedia/commons/9/99/Field_of_Mentha_x_piperita_02.jpg
Millefeuille,"Plante médicinale utilisée en usage interne contre l’anorexie (effet amer) et lors de problèmes digestifs avec des spasmes, en usage externe contre les inflammations. Le millefeuille se présente souvent sous forme de tisane.",,"Acidité gastrique , Brûlure d’estomac , Gastro-entérite , Hépatites , Indigestion , Mal de ventre , Règles douloureuses (dysménorrhée) ",https://upload.wikimedia.org/wikipedia/commons/7/7f/Achillea_macrophylla_flowers.jpg
Réglisse,"Plante médicinale expectorante utilisée principalement lors de toux ou de catarrhes, se présente en général sous forme de tisane (infusion), en racine à sucer ou en bonbons.",https://creapharma.ch/wp-content/uploads/2015/05/reglisse-pm.jpg,"Acidité gastrique , Angine (pharyngite) , Aphtes , Brûlure d’estomac , Enrouement , Gorge (mal de) , Laryngite , Mal de gorge , Pharyngite (angine) , Reflux gastro-œsophagien , Toux ",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Glycyrrhiza_glabra_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-207.jpg/220px-Glycyrrhiza_glabra_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-207.jpg
